STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",7/1/2015,0.39,0,0,75.5,82,69
USW00094728,"NY CITY CENTRAL PARK, NY US",7/2/2015,0,0,0,74.5,80,69
USW00094728,"NY CITY CENTRAL PARK, NY US",7/3/2015,0,0,0,74,82,66
USW00094728,"NY CITY CENTRAL PARK, NY US",7/4/2015,0,0,0,72,75,69
USW00094728,"NY CITY CENTRAL PARK, NY US",7/5/2015,0,0,0,75.5,83,68
USW00094728,"NY CITY CENTRAL PARK, NY US",7/6/2015,0,0,0,77.5,83,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/7/2015,0.12,0,0,81.5,88,75
USW00094728,"NY CITY CENTRAL PARK, NY US",7/8/2015,0,0,0,82.5,88,77
USW00094728,"NY CITY CENTRAL PARK, NY US",7/9/2015,0.3,0,0,73.5,79,68
USW00094728,"NY CITY CENTRAL PARK, NY US",7/10/2015,0,0,0,78,84,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/11/2015,0,0,0,78.5,88,69
USW00094728,"NY CITY CENTRAL PARK, NY US",7/12/2015,0,0,0,80.5,89,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/13/2015,0,0,0,80.5,88,73
USW00094728,"NY CITY CENTRAL PARK, NY US",7/14/2015,0.42,0,0,77.5,82,73
USW00094728,"NY CITY CENTRAL PARK, NY US",7/15/2015,0.12,0,0,76.5,81,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/16/2015,0,0,0,72,80,64
USW00094728,"NY CITY CENTRAL PARK, NY US",7/17/2015,0,0,0,74,81,67
USW00094728,"NY CITY CENTRAL PARK, NY US",7/18/2015,0.32,0,0,78,85,71
USW00094728,"NY CITY CENTRAL PARK, NY US",7/19/2015,0,0,0,85.5,93,78
USW00094728,"NY CITY CENTRAL PARK, NY US",7/20/2015,0,0,0,88,94,82
USW00094728,"NY CITY CENTRAL PARK, NY US",7/21/2015,0,0,0,81.5,89,74
USW00094728,"NY CITY CENTRAL PARK, NY US",7/22/2015,0,0,0,77,85,69
USW00094728,"NY CITY CENTRAL PARK, NY US",7/23/2015,0,0,0,77,86,68
USW00094728,"NY CITY CENTRAL PARK, NY US",7/24/2015,0,0,0,78.5,87,70
USW00094728,"NY CITY CENTRAL PARK, NY US",7/25/2015,0,0,0,78.5,88,69
USW00094728,"NY CITY CENTRAL PARK, NY US",7/26/2015,0,0,0,82,90,74
USW00094728,"NY CITY CENTRAL PARK, NY US",7/27/2015,0.36,0,0,78.5,86,71
USW00094728,"NY CITY CENTRAL PARK, NY US",7/28/2015,0,0,0,85,95,75
USW00094728,"NY CITY CENTRAL PARK, NY US",7/29/2015,0,0,0,87,96,78
